variety_id,variety_slug,category,label,url,type
94,henderson-bush-lima,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
95,cherokee-purple-pod-bean,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
96,contender-bush-bean,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
97,purple-top-turnip-bean,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170465/nutrients,usda
98,jade-bush-bean,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
99,rattlesnake-pole-bean,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
100,maxibel-haricot-vert,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
101,bush-blue-lake-274,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
102,tendergreen-bush-bean,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
103,royal-burgundy-bush-bean,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
104,haricot-vert-cornelia,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
105,burpee-s-stringless-green-pod,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
106,butternut-squash,squash,NC State Extension,https://plants.ces.ncsu.edu/plants/cucurbita-moschata/,extension
106,butternut-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169295/nutrients,usda
107,acorn-squash-table-queen,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168472/nutrients,usda
108,delicata-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168040/nutrients,usda
109,yellow-crookneck-summer-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168040/nutrients,usda
110,spaghetti-squash,squash,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/squash/winter-squash/spaghetti-squash-vegetable-seed-679.html,breeder
110,spaghetti-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169298/nutrients,usda
111,black-beauty-zucchini,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168565/nutrients,usda
112,hubbard-blue-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168040/nutrients,usda
113,pattypan-squash-sunburst,squash,NC State Extension,https://plants.ces.ncsu.edu/plants/cucurbita-pepo/,extension
113,pattypan-squash-sunburst,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168040/nutrients,usda
114,honeynut-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168040/nutrients,usda
115,vegetable-marrow-long-green-trailing,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168040/nutrients,usda
116,yellow-summer-squash-early-prolific-straightneck,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168040/nutrients,usda
117,table-king-bush-acorn-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168472/nutrients,usda
118,cocozelle-italian-heirloom-zucchini,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168565/nutrients,usda
119,burgess-buttercup-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168040/nutrients,usda
120,waltham-butternut-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169295/nutrients,usda
121,sugar-pie-pumpkin,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168448/nutrients,usda
122,kabocha-winter-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168040/nutrients,usda
123,yellow-straightneck-zucchini,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168565/nutrients,usda
124,carnival-acorn-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168472/nutrients,usda
125,tromboncino-squash,squash,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168040/nutrients,usda
127,chantenay-red-core-carrot,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170393/nutrients,usda
128,watermelon-radish,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169276/nutrients,usda
129,hakurei-turnip,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170465/nutrients,usda
130,storage-4-rutabaga,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168454/nutrients,usda
131,scarlet-nantes-carrot,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170393/nutrients,usda
132,red-ace-beet,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2685576/nutrients,usda
133,french-breakfast-radish,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169276/nutrients,usda
134,purple-top-white-globe-turnip,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170465/nutrients,usda
135,chioggia-beet,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2685576/nutrients,usda
136,paris-market-carrot,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170393/nutrients,usda
137,purple-daikon-radish,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169276/nutrients,usda
139,nelson-carrot,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170393/nutrients,usda
140,golden-beet,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2685576/nutrients,usda
141,danvers-half-long-carrot,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170393/nutrients,usda
142,purple-plum-radish,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169276/nutrients,usda
143,bolero-carrot,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170393/nutrients,usda
144,early-wonder-tall-top-beet,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2685576/nutrients,usda
145,tokyo-cross-turnip,root-vegetable,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170465/nutrients,usda
146,detroit-dark-red,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/747447/nutrients,usda
147,romanesco,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/747447/nutrients,usda
148,lacinato-kale,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168421/nutrients,usda
149,golden-acre-cabbage,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169975/nutrients,usda
150,de-cicco-broccoli,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/747447/nutrients,usda
151,black-magic-kale,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168421/nutrients,usda
152,premium-crop-broccoli,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/747447/nutrients,usda
153,early-jersey-wakefield-cabbage,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169975/nutrients,usda
154,ruby-perfection-cabbage,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169975/nutrients,usda
155,white-hot-cauliflower,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2685573/nutrients,usda
156,brussels-sprouts-long-island-improved,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2685575/nutrients,usda
157,napa-cabbage-michihili,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169975/nutrients,usda
158,kohlrabi-early-white-vienna,brassica,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/168424/nutrients,usda
